date,brand_name,sku_count,median_promo_price,min_promo_price,avg_discount_pct,promo_sku_count,avg_rating,total_reviews,units_sold_total,units_sold_delta,revenue_proxy,share_of_shelf_pct,promo_penetration_pct
2026-08-10,Unbranded,452,400.0,50.0,20.2,252,4.94,5128,16166,0,0.0,37.6,55.8
2026-08-10,Premium,27,1990.0,590.0,49.0,27,4.88,8,27,0,0.0,2.2,100.0
2026-08-10,Bcuelov,18,130.26,112.17,63.6,18,4.89,1752,4389,0,0.0,1.5,100.0
2026-08-10,Lacto-Fit,17,359.0,85.0,34.2,17,4.97,3013,11442,0,0.0,1.4,100.0
2026-08-10,Swisse,16,709.0,399.0,20.1,12,4.98,767,2817,0,0.0,1.3,75.0
2026-08-10,Premium(พรีเมึ่ยม),16,1670.0,890.0,25.3,16,,0,0,0,0.0,1.3,100.0
2026-08-10,Life-Space,15,1289.5,450.0,26.4,11,4.87,4683,14122,0,0.0,1.2,73.3
2026-08-10,Now Foods,12,779.38,660.0,26.8,9,4.98,140,586,0,0.0,1.0,75.0
2026-08-10,PINK COCO,12,1535.38,849.09,23.0,12,4.69,78,326,0,0.0,1.0,100.0
2026-08-10,FIT,12,287.0,235.0,22.1,10,5.0,114,400,0,0.0,1.0,83.3
2026-08-10,pslalae,11,324.25,165.69,42.7,10,4.86,24,108,0,0.0,0.9,90.9
2026-08-10,21st Century,10,467.25,428.0,2.5,1,4.97,64,253,0,0.0,0.8,10.0
2026-08-10,modgut,10,1423.5,1194.82,12.9,9,5.0,331,1072,0,0.0,0.8,90.0
2026-08-10,MANA,9,1090.0,325.0,35.4,6,5.0,242,459,0,0.0,0.7,66.7
2026-08-10,Donutt,9,399.0,129.0,42.6,9,4.99,3525,10958,0,0.0,0.7,100.0
2026-08-10,Blackmores,9,768.0,519.0,14.9,5,4.97,579,2216,0,0.0,0.7,55.6
2026-08-10,TRUVITAR,9,234.0,162.0,46.2,9,4.96,230,644,0,0.0,0.7,100.0
2026-08-10,Auswelllife,9,1000.0,390.0,46.3,7,,0,0,0,0.0,0.7,77.8
2026-08-10,Daitea,8,129.41,112.94,61.1,8,4.98,1088,3015,0,0.0,0.7,100.0
2026-08-10,California Gold Nutrition,8,545.41,478.4,12.2,2,4.9,149,871,0,0.0,0.7,25.0
2026-08-10,Vistra,8,689.5,345.0,14.4,5,4.99,1368,4896,0,0.0,0.7,62.5
2026-08-10,Bomi,8,426.9,290.0,45.9,7,4.97,4105,12406,0,0.0,0.7,87.5
2026-08-10,Clover Plus,8,158.5,99.0,57.5,8,4.97,5400,16459,0,0.0,0.7,100.0
2026-08-10,Activa แอคทิว่า,8,903.0,445.0,41.3,8,4.98,648,1283,0,0.0,0.7,100.0
2026-08-10,DARY VIT,7,119.0,83.92,41.1,7,5.0,9,32,0,0.0,0.6,100.0
2026-08-10,Geni,7,790.0,505.0,33.1,7,5.0,30,68,0,0.0,0.6,100.0
2026-08-10,PAA,7,1000.0,130.0,2.4,3,5.0,242,1446,0,0.0,0.6,42.9
2026-08-10,Dr.PONG,7,449.0,339.0,46.9,6,4.99,9298,26118,0,0.0,0.6,85.7
2026-08-10,Nature's Bounty,7,940.0,435.0,19.0,4,4.78,71,378,0,0.0,0.6,57.1
2026-08-10,CEO,6,633.35,200.0,29.4,4,4.95,3007,6456,0,0.0,0.5,66.7
2026-08-10,SUPURRA,6,162.81,102.16,46.6,5,4.95,5045,11007,0,0.0,0.5,83.3
2026-08-10,PipingRock,6,464.0,355.0,28.6,4,5.0,5,10,0,0.0,0.5,66.7
2026-08-10,Garden of Life,6,2194.0,1370.0,12.9,5,4.78,13,65,0,0.0,0.5,83.3
2026-08-10,Interpharma,6,1769.9,350.0,16.1,6,4.94,3521,14324,0,0.0,0.5,100.0
2026-08-10,culturelle,6,715.0,590.0,16.3,3,4.98,251,1371,0,0.0,0.5,50.0
2026-08-10,ManyMores Wellness,6,1395.0,1390.0,0.0,0,4.99,39,101,0,0.0,0.5,0.0
2026-08-10,Swanson,5,848.0,599.0,16.6,3,4.8,5,37,0,0.0,0.4,60.0
2026-08-10,RenewLife,5,579.0,199.0,18.0,2,5.0,23,68,0,0.0,0.4,40.0
2026-08-10,MSP,5,394.0,370.0,22.1,5,5.0,101,215,0,0.0,0.4,100.0
2026-08-10,Mulittea,5,499.0,245.12,28.2,5,5.0,30,93,0,0.0,0.4,100.0
2026-08-10,BioGaia,5,970.0,440.0,0.0,0,4.91,335,2456,0,0.0,0.4,0.0
2026-08-10,Schiff,5,1085.0,932.36,16.9,5,4.97,38,201,0,0.0,0.4,100.0
2026-08-10,Posh Medica,5,146.8,138.0,33.8,5,4.98,1883,7072,0,0.0,0.4,100.0
2026-08-10,Nutralife,5,2790.0,1460.0,41.8,5,5.0,19,96,0,0.0,0.4,100.0
2026-08-10,Vitamores,5,202.0,160.0,66.3,5,4.95,4258,10008,0,0.0,0.4,100.0
2026-08-10,LABLIBRARY,5,509.0,328.0,22.7,4,4.87,5612,15461,0,0.0,0.4,80.0
2026-08-10,Xemenry,5,184.17,181.01,60.1,5,4.95,4533,12512,0,0.0,0.4,100.0
2026-08-10,PROMED,5,1400.0,1400.0,0.0,0,5.0,2,21,0,0.0,0.4,0.0
2026-08-10,Trunature,4,1120.0,826.9,2.0,1,4.93,33,97,0,0.0,0.3,25.0
2026-08-10,Prozeus,4,653.83,359.0,10.5,3,5.0,4,30,0,0.0,0.3,75.0
2026-08-10,PRESIVA,4,427.47,371.78,7.6,3,4.99,302,723,0,0.0,0.3,75.0
2026-08-10,The Na Thailand,4,1000.0,590.0,35.3,3,4.93,60,268,0,0.0,0.3,75.0
2026-08-10,Feruna,4,505.0,420.0,42.6,4,4.96,413,883,0,0.0,0.3,100.0
2026-08-10,Holista,4,1935.0,1890.0,6.8,2,4.95,23,43,0,0.0,0.3,50.0
2026-08-10,Prove+,4,2624.0,268.0,17.7,4,5.0,3,35,0,0.0,0.3,100.0
2026-08-10,Greater Pharma,4,1097.5,599.0,17.5,4,4.91,144,405,0,0.0,0.3,100.0
2026-08-10,Nutrify Probiotics Gen8,4,1885.0,990.0,0.0,0,4.96,270,1268,0,0.0,0.3,0.0
2026-08-10,Sandoz,4,175.84,165.0,14.7,2,4.98,187,1772,0,0.0,0.3,50.0
2026-08-10,Beyond,4,309.32,289.73,62.2,4,4.96,5886,20902,0,0.0,0.3,100.0
2026-08-10,Zenji,4,460.36,445.0,6.3,4,4.81,7731,22105,0,0.0,0.3,100.0
2026-08-10,wholesome wellness,4,1028.7,920.0,6.2,2,4.99,691,2322,0,0.0,0.3,50.0
2026-08-10,Biomed,4,1332.0,450.0,33.5,4,4.95,98,675,0,0.0,0.3,100.0
2026-08-10,Vitalitown,4,841.0,749.0,0.0,0,5.0,39,168,0,0.0,0.3,0.0
2026-08-10,Sharisma,4,490.0,420.0,10.1,3,5.0,3,0,0,0.0,0.3,75.0
2026-08-10,Kirkland Signature,4,228.11,218.91,57.1,4,4.96,294,1032,0,0.0,0.3,100.0
2026-08-10,Llamito (ยามิโตะ),4,302.0,295.0,0.0,0,,0,0,0,0.0,0.3,0.0
2026-08-10,MEDIRA,3,210.0,147.0,10.0,1,4.98,268,1222,0,0.0,0.2,33.3
2026-08-10,BioActive+,3,1120.0,690.0,16.3,2,5.0,58,185,0,0.0,0.2,66.7
2026-08-10,Wink White Thailand,3,250.0,150.0,46.7,3,5.0,56,150,0,0.0,0.2,100.0
2026-08-10,Life,3,450.0,160.65,47.4,3,5.0,147,345,0,0.0,0.2,100.0
2026-08-10,BIOBAC,3,419.0,348.0,20.4,1,4.99,93,543,0,0.0,0.2,33.3
2026-08-10,HOF,3,467.0,420.0,5.6,1,5.0,66,393,0,0.0,0.2,33.3
2026-08-10,Successmore,3,1000.0,939.8,25.8,3,4.97,48,156,0,0.0,0.2,100.0
2026-08-10,Nature's Way,3,699.0,420.0,34.0,3,5.0,31,77,0,0.0,0.2,100.0
2026-08-10,Biocap,3,359.0,289.0,58.6,3,4.97,2075,6121,0,0.0,0.2,100.0
2026-08-10,V-Vel Probiotics (วีเวลโปรไบโอติกส์),3,900.0,490.0,71.4,3,5.0,4,5,0,0.0,0.2,100.0
2026-08-10,Longbiotic,3,2200.0,800.0,0.0,0,5.0,21,76,0,0.0,0.2,0.0
2026-08-10,Giffarine,3,790.0,790.0,0.0,0,5.0,9,17,0,0.0,0.2,0.0
2026-08-10,Kaya,3,112.67,112.63,65.5,3,4.94,592,2125,0,0.0,0.2,100.0
2026-08-10,Premuim,3,1590.0,1250.0,37.1,3,5.0,1,0,0,0.0,0.2,100.0
2026-08-10,PrimaNest,3,580.0,579.0,18.2,1,5.0,10,64,0,0.0,0.2,33.3
2026-08-10,ISNIH,3,359.17,295.93,79.7,3,5.0,84,171,0,0.0,0.2,100.0
2026-08-10,Vida,3,279.0,249.0,46.1,3,4.99,952,2555,0,0.0,0.2,100.0
2026-08-10,H2YOU,3,610.0,610.0,55.6,3,5.0,1,0,0,0.0,0.2,100.0
2026-08-10,KET8,3,490.0,437.0,40.9,3,5.0,22,34,0,0.0,0.2,100.0
2026-08-10,SOFTHER HEALTHY CHOICES,3,456.75,412.3,83.9,3,5.0,8,17,0,0.0,0.2,100.0
2026-08-10,Boots,3,245.0,215.0,50.0,3,4.96,64,246,0,0.0,0.2,100.0
2026-08-10,ESH,3,239.25,223.3,85.6,3,5.0,2,0,0,0.0,0.2,100.0
2026-08-10,Plukaow Plus(พ่อทองชิด),3,741.48,446.63,14.0,3,4.92,54,116,0,0.0,0.2,100.0
2026-08-10,life plus,2,324.5,299.0,9.4,2,5.0,52,209,0,0.0,0.2,100.0
2026-08-10,jiammy,2,334.5,310.0,62.6,2,,0,0,0,0.0,0.2,100.0
2026-08-10,BODE,2,814.0,695.0,22.5,1,,0,0,0,0.0,0.2,50.0
2026-08-10,Codeage,2,1850.0,1750.0,4.0,1,,0,0,0,0.0,0.2,50.0
2026-08-10,Suntory,2,3582.3,1791.15,5.2,2,5.0,5,25,0,0.0,0.2,100.0
2026-08-10,New Life Plus,2,460.0,460.0,6.1,2,,0,0,0,0.0,0.2,100.0
2026-08-10,GPGP GreenPeople,2,198.1,127.2,45.8,2,4.97,918,1923,0,0.0,0.2,100.0
2026-08-10,Mega We Care,2,596.0,270.0,3.5,1,4.99,50,165,0,0.0,0.2,50.0
2026-08-10,Nature's Truth,2,706.5,323.0,26.9,1,5.0,2,10,0,0.0,0.2,50.0
2026-08-10,WOMA,2,84.5,79.0,63.6,2,5.0,8,16,0,0.0,0.2,100.0
2026-08-10,Beworths,2,249.26,229.53,63.5,2,5.0,2,7,0,0.0,0.2,100.0
2026-08-10,Dr.CBD,2,54.0,9.0,82.4,2,5.0,14,65,0,0.0,0.2,100.0
2026-08-10,Verena,2,214.0,188.0,74.1,2,4.98,214,1884,0,0.0,0.2,100.0
2026-08-10,Memories,2,963.3,620.0,33.8,2,4.97,324,750,0,0.0,0.2,100.0
2026-08-10,Wakunaga Kyolic,2,1291.5,1285.0,13.9,2,5.0,1,0,0,0.0,0.2,100.0
2026-08-10,WOM,2,399.0,399.0,69.1,2,4.97,528,1659,0,0.0,0.2,100.0
2026-08-10,Gleanline (กลีนไลน์),2,299.0,299.0,34.2,2,4.94,33,140,0,0.0,0.2,100.0
2026-08-10,Atomy,2,1180.0,960.0,0.0,0,5.0,16,99,0,0.0,0.2,0.0
2026-08-10,Mitrplus,2,294.33,294.33,66.9,2,4.92,384,7351,0,0.0,0.2,100.0
2026-08-10,NUBOLIC,2,359.0,329.0,0.0,0,4.97,104,327,0,0.0,0.2,0.0
2026-08-10,Dream Nature,2,296.55,289.0,44.2,2,4.94,108,452,0,0.0,0.2,100.0
2026-08-10,CUphar,2,2008.63,1262.0,11.4,2,4.98,447,1049,0,0.0,0.2,100.0
2026-08-10,Probiota,2,1984.0,1369.0,29.8,2,5.0,254,596,0,0.0,0.2,100.0
2026-08-10,Balincer,2,151.06,112.42,62.4,2,4.94,513,1306,0,0.0,0.2,100.0
2026-08-10,hm by healthymax,2,1650.0,1100.0,0.0,0,,0,0,0,0.0,0.2,0.0
2026-08-10,Plantae,2,364.0,299.0,41.2,2,4.98,471,1471,0,0.0,0.2,100.0
2026-08-10,AGLAM,2,171.07,163.15,22.7,1,5.0,95,192,0,0.0,0.2,50.0
2026-08-10,Vikkaskincare,2,2079.37,1668.74,40.8,2,5.0,435,940,0,0.0,0.2,100.0
2026-08-10,SN9,2,553.5,517.0,42.1,2,5.0,17,35,0,0.0,0.2,100.0
2026-08-10,PRIME HEALTH,2,894.5,499.0,51.5,2,4.96,93,263,0,0.0,0.2,100.0
2026-08-10,VSL,2,1239.0,888.0,8.1,2,5.0,1,0,0,0.0,0.2,100.0
2026-08-10,CEO Factory,2,277.5,200.0,72.2,2,5.0,13,65,0,0.0,0.2,100.0
2026-08-10,Omilay,2,242.12,189.0,86.2,2,4.83,23,49,0,0.0,0.2,100.0
2026-08-10,QiuMi,2,260.32,126.75,87.0,2,4.9,97,186,0,0.0,0.2,100.0
2026-08-10,OZ molts,2,344.38,213.73,86.6,2,4.94,51,150,0,0.0,0.2,100.0
2026-08-10,mama Beauty,2,269.52,151.2,85.6,2,4.94,61,141,0,0.0,0.2,100.0
2026-08-10,maemaiplengthai,2,559.0,119.0,70.8,2,5.0,6,30,0,0.0,0.2,100.0
2026-08-10,Sakura,2,610.52,222.04,16.2,1,5.0,5,9,0,0.0,0.2,50.0
2026-08-10,Dicoflor,2,1072.5,745.0,2.9,1,,0,0,0,0.0,0.2,50.0
2026-08-10,NOLA SUPERFOODS,2,874.5,750.0,24.5,2,4.88,13,85,0,0.0,0.2,100.0
2026-08-10,UNC,2,1180.0,590.0,50.8,2,5.0,1,0,0,0.0,0.2,100.0
2026-08-10,Star Herb,2,570.0,550.0,27.9,2,5.0,0,5,0,0.0,0.2,100.0
2026-08-10,SUIREN,2,695.0,490.0,0.0,0,5.0,4,0,0,0.0,0.2,0.0
2026-08-10,life extension,2,575.5,559.0,43.8,2,5.0,3,13,0,0.0,0.2,100.0
2026-08-10,ปัจจัยชีวี,1,399.0,399.0,42.9,1,4.81,201,846,0,0.0,0.1,100.0
2026-08-10,Total:flora,1,699.0,699.0,41.7,1,5.0,37,150,0,0.0,0.1,100.0
2026-08-10,ardermis,1,450.0,450.0,43.0,1,5.0,1,0,0,0.0,0.1,100.0
2026-08-10,Naturebelle,1,1610.0,1610.0,0.0,0,,0,0,0,0.0,0.1,0.0
2026-08-10,Klearly,1,374.98,374.98,6.0,1,5.0,6,22,0,0.0,0.1,100.0
2026-08-10,New Life Spectrum,1,799.0,799.0,32.9,1,5.0,3,7,0,0.0,0.1,100.0
2026-08-10,ฝนดอกไม้ (fondokmai),1,8.0,8.0,73.3,1,,0,11,0,0.0,0.1,100.0
2026-08-10,Nutricost,1,750.0,750.0,15.7,1,,0,0,0,0.0,0.1,100.0
2026-08-10,GMMOShopping,1,195.0,195.0,70.0,1,4.5,2,26,0,0.0,0.1,100.0
2026-08-10,Proove,1,1190.0,1190.0,7.8,1,,0,0,0,0.0,0.1,100.0
2026-08-10,LOVE PET PROSPER,1,99.0,99.0,70.9,1,5.0,34,112,0,0.0,0.1,100.0
2026-08-10,Nature Biotec(เนเจอร์ ไบโอเทค),1,393.0,393.0,21.2,1,5.0,1,0,0,0.0,0.1,100.0
2026-08-10,LUKAREE,1,359.0,359.0,40.1,1,5.0,5,12,0,0.0,0.1,100.0
2026-08-10,Dr.Olivia,1,8970.0,8970.0,0.0,0,,0,0,0,0.0,0.1,0.0
2026-08-10,Taoters,1,143.49,143.49,59.0,1,,0,0,0,0.0,0.1,100.0
2026-08-10,Araya,1,165.0,165.0,43.1,1,,0,0,0,0.0,0.1,100.0
2026-08-10,Bonback,1,905.0,905.0,74.2,1,5.0,1,0,0,0.0,0.1,100.0
2026-08-10,Kenofor,1,146.37,146.37,59.0,1,5.0,2,9,0,0.0,0.1,100.0
2026-08-10,DEARBODY,1,1515.74,1515.74,27.5,1,,0,0,0,0.0,0.1,100.0
2026-08-10,Nectapharma,1,683.0,683.0,50.5,1,5.0,17,98,0,0.0,0.1,100.0
2026-08-10,Nurisma Brand,1,790.0,790.0,0.0,0,,0,0,0,0.0,0.1,0.0
2026-08-10,Piping Rock,1,499.0,499.0,61.6,1,,0,0,0,0.0,0.1,100.0
2026-08-10,PROBILAC BY TESARA,1,679.15,679.15,15.0,1,5.0,1,15,0,0.0,0.1,100.0
2026-08-10,UJIN,1,168.0,168.0,43.8,1,,0,0,0,0.0,0.1,100.0
2026-08-10,Hyper Lab,1,1000.0,1000.0,56.5,1,,0,0,0,0.0,0.1,100.0
2026-08-10,Amway,1,1589.0,1589.0,17.7,1,4.9,140,511,0,0.0,0.1,100.0
2026-08-10,Pharma Nord,1,1920.0,1920.0,0.0,0,4.98,90,316,0,0.0,0.1,0.0
2026-08-10,HyperX,1,1000.0,1000.0,54.5,1,,0,0,0,0.0,0.1,100.0
2026-08-10,healthy origins,1,1585.0,1585.0,20.8,1,5.0,1,17,0,0.0,0.1,100.0
2026-08-10,GPO,1,232.0,232.0,20.0,1,4.98,211,952,0,0.0,0.1,100.0
2026-08-10,STRONKA,1,749.0,749.0,31.3,1,4.95,62,308,0,0.0,0.1,100.0
2026-08-10,PRIME,1,2240.0,2240.0,0.0,0,5.0,1,6,0,0.0,0.1,0.0
2026-08-10,OHHS,1,2485.0,2485.0,4.4,1,,0,8,0,0.0,0.1,100.0
2026-08-10,Mason Natural,1,466.0,466.0,22.3,1,5.0,9,54,0,0.0,0.1,100.0
2026-08-10,KOREAN,1,250.0,250.0,0.0,0,4.94,225,625,0,0.0,0.1,0.0
2026-08-10,Mary's Naturals,1,890.0,890.0,31.0,1,5.0,4,27,0,0.0,0.1,100.0
2026-08-10,Winona,1,2598.0,2598.0,18.8,1,4.97,189,442,0,0.0,0.1,100.0
2026-08-10,dr. phillips,1,1985.0,1985.0,9.8,1,5.0,1,0,0,0.0,0.1,100.0
2026-08-10,BlueBird,1,179.1,179.1,23.8,1,4.99,94,333,0,0.0,0.1,100.0
2026-08-10,suntanar,1,890.0,890.0,31.0,1,5.0,1,0,0,0.0,0.1,100.0
2026-08-10,Beauti Srin,1,299.0,299.0,28.1,1,5.0,66,165,0,0.0,0.1,100.0
2026-08-10,WINONA INTERNATIONAL,1,1589.0,1589.0,0.6,1,4.97,243,618,0,0.0,0.1,100.0
2026-08-10,Camellia,1,390.0,390.0,0.0,0,5.0,209,593,0,0.0,0.1,0.0
2026-08-10,Linhzhimin,1,819.0,819.0,31.2,1,5.0,32,87,0,0.0,0.1,100.0
2026-08-10,Proganic,1,358.72,358.72,59.7,1,4.96,778,3300,0,0.0,0.1,100.0
2026-08-10,bioCRAFT,1,742.0,742.0,21.9,1,4.98,198,515,0,0.0,0.1,100.0
2026-08-10,PROVA,1,450.0,450.0,8.2,1,5.0,10,58,0,0.0,0.1,100.0
2026-08-10,hepheka,1,5818.0,5818.0,20.3,1,,0,0,0,0.0,0.1,100.0
2026-08-10,Medileen,1,1300.0,1300.0,0.0,0,,0,12,0,0.0,0.1,0.0
2026-08-10,S,1,1788.0,1788.0,10.2,1,,0,0,0,0.0,0.1,100.0
2026-08-10,TOMIN,1,395.0,395.0,50.0,1,4.97,1934,5000,0,0.0,0.1,100.0
2026-08-10,Dr.Panas,1,2880.0,2880.0,10.0,1,,0,0,0,0.0,0.1,100.0
2026-08-10,Abbott,1,385.39,385.39,12.2,1,5.0,97,600,0,0.0,0.1,100.0
2026-08-10,Ririko,1,409.0,409.0,37.1,1,4.97,78,259,0,0.0,0.1,100.0
2026-08-10,Tactiva,1,1117.5,1117.5,40.9,1,5.0,17,50,0,0.0,0.1,100.0
2026-08-10,Showa Coffee,1,445.0,445.0,44.4,1,4.98,127,299,0,0.0,0.1,100.0
2026-08-10,MEMBERK,1,913.95,913.95,39.1,1,5.0,33,67,0,0.0,0.1,100.0
2026-08-10,Horbäach,1,825.0,825.0,45.0,1,5.0,10,31,0,0.0,0.1,100.0
2026-08-10,Plantogenic,1,1332.0,1332.0,23.9,1,4.97,65,302,0,0.0,0.1,100.0
2026-08-10,Taisho,1,1073.29,1073.29,16.8,1,4.93,73,263,0,0.0,0.1,100.0
2026-08-10,Nutrition Essentials,1,582.47,582.47,16.7,1,4.93,15,48,0,0.0,0.1,100.0
2026-08-10,wisamin,1,146.0,146.0,41.4,1,4.98,524,941,0,0.0,0.1,100.0
2026-08-10,THE PRONURA,1,2990.0,2990.0,22.7,1,5.0,2,11,0,0.0,0.1,100.0
2026-08-10,SUPPLEMENT,1,557.24,557.24,29.5,1,5.0,1,0,0,0.0,0.1,100.0
2026-08-10,PARADIGM,1,535.0,535.0,0.0,0,,0,0,0,0.0,0.1,0.0
2026-08-10,Skin Agem,1,690.0,690.0,0.0,0,,0,0,0,0.0,0.1,0.0
2026-08-10,BioLac,1,450.0,450.0,0.0,0,5.0,3,31,0,0.0,0.1,0.0
2026-08-10,Calplus,1,990.0,990.0,0.0,0,,0,0,0,0.0,0.1,0.0
2026-08-10,Wital Thailand,1,890.0,890.0,50.0,1,5.0,490,1500,0,0.0,0.1,100.0
2026-08-10,Popoo,1,330.11,330.11,86.7,1,4.98,2473,7500,0,0.0,0.1,100.0
2026-08-10,Mixcoco,1,550.0,550.0,0.0,0,,0,0,0,0.0,0.1,0.0
2026-08-10,MMC,1,99.0,99.0,74.6,1,5.0,10,57,0,0.0,0.1,100.0
2026-08-10,Do Not Age,1,9950.0,9950.0,22.9,1,4.88,8,50,0,0.0,0.1,100.0
2026-08-10,Ensure,1,1067.0,1067.0,5.2,1,4.96,3395,13900,0,0.0,0.1,100.0
2026-08-10,365 Brand,1,316.0,316.0,29.1,1,,0,0,0,0.0,0.1,100.0
2026-08-10,Synotic,1,2600.0,2600.0,30.7,1,5.0,12,20,0,0.0,0.1,100.0
2026-08-10,KB,1,189.0,189.0,34.8,1,4.97,190,616,0,0.0,0.1,100.0
2026-08-10,Hopeful,1,910.0,910.0,0.0,0,4.8,5,10,0,0.0,0.1,0.0
2026-08-10,Puritan's Pride,1,620.0,620.0,21.5,1,5.0,2,12,0,0.0,0.1,100.0
2026-08-10,ATLANTA,1,135.0,135.0,24.6,1,5.0,12,131,0,0.0,0.1,100.0
2026-08-10,Nature,1,299.0,299.0,16.7,1,5.0,2,18,0,0.0,0.1,100.0
2026-08-10,Fruiting Body,1,2795.23,2795.23,37.7,1,4.93,57,253,0,0.0,0.1,100.0
2026-08-10,Abso Thailand,1,4500.0,4500.0,63.4,1,5.0,3,15,0,0.0,0.1,100.0
2026-08-10,NIKO,1,290.0,290.0,70.7,1,,0,0,0,0.0,0.1,100.0
2026-08-10,Medese,1,590.0,590.0,13.2,1,,0,0,0,0.0,0.1,100.0
2026-08-10,Biothentic,1,579.0,579.0,60.9,1,4.93,29,66,0,0.0,0.1,100.0
2026-08-10,คาร่า,1,349.0,349.0,12.5,1,5.0,1,0,0,0.0,0.1,100.0
2026-08-10,Petme,1,950.0,950.0,9.5,1,5.0,1,5,0,0.0,0.1,100.0
2026-08-10,WHEY WWL,1,276.0,276.0,44.8,1,4.89,18,36,0,0.0,0.1,100.0
2026-08-10,Fearathe,1,196.29,196.29,63.2,1,3.0,1,12,0,0.0,0.1,100.0
2026-08-10,Tecepec,1,129.02,129.02,62.1,1,4.97,37,173,0,0.0,0.1,100.0
2026-08-10,D'LELLISE(ดีเลลลิสเซ่),1,450.7,450.7,8.0,1,4.98,130,530,0,0.0,0.1,100.0
2026-08-10,KEBETEME,1,268.97,268.97,85.7,1,5.0,52,151,0,0.0,0.1,100.0
2026-08-10,PP,1,280.0,280.0,68.2,1,,0,0,0,0.0,0.1,100.0
2026-08-10,ROYAL-D,1,272.2,272.2,14.7,1,4.0,1,0,0,0.0,0.1,100.0
2026-08-10,Senheng,1,259.0,259.0,86.0,1,5.0,0,12,0,0.0,0.1,100.0
2026-08-10,Swiss,1,399.0,399.0,38.6,1,,0,0,0,0.0,0.1,100.0
2026-08-10,Bioviva,1,139.0,139.0,63.4,1,5.0,1,0,0,0.0,0.1,100.0
2026-08-10,KIO,1,390.0,390.0,33.9,1,5.0,1,5,0,0.0,0.1,100.0
2026-08-10,RD+ อาร์ดีพลัส,1,359.0,359.0,10.2,1,5.0,14,103,0,0.0,0.1,100.0
2026-08-10,BellaNina,1,590.0,590.0,0.0,0,,0,0,0,0.0,0.1,0.0
2026-08-10,monos,1,465.12,465.12,82.9,1,5.0,8,16,0,0.0,0.1,100.0
2026-08-10,Innobic,1,1444.51,1444.51,9.2,1,5.0,10,20,0,0.0,0.1,100.0
2026-08-10,Mirval,1,299.25,299.25,82.5,1,,0,0,0,0.0,0.1,100.0
2026-08-10,Konvy,1,390.0,390.0,33.9,1,5.0,26,75,0,0.0,0.1,100.0
2026-08-10,Meiji,1,1190.0,1190.0,7.8,1,,0,0,0,0.0,0.1,100.0
2026-08-10,Jeunesse Luminesce,1,695.0,695.0,39.6,1,5.0,5,34,0,0.0,0.1,100.0
2026-08-10,Chame',1,330.0,330.0,62.9,1,5.0,26,92,0,0.0,0.1,100.0
2026-08-10,Yakult,1,520.0,520.0,0.0,0,5.0,1,7,0,0.0,0.1,0.0
2026-08-10,Clare's,1,199.0,199.0,23.2,1,,0,0,0,0.0,0.1,100.0
2026-08-10,Wink white,1,195.05,195.05,32.7,1,5.0,1,0,0,0.0,0.1,100.0
2026-08-10,Oronomedica,1,1450.0,1450.0,17.1,1,4.98,122,932,0,0.0,0.1,100.0
2026-08-10,Fairhaven health,1,1150.0,1150.0,23.3,1,,0,0,0,0.0,0.1,100.0
2026-08-10,HERBOLOID,1,2009.52,2009.52,51.8,1,5.0,3,7,0,0.0,0.1,100.0
2026-08-11,Unbranded,382,390.0,50.0,19.7,200,4.93,4465,13782,35,10368.06,32.7,52.4
2026-08-11,Lacto-Fit,22,369.0,79.0,30.6,21,4.97,5302,18536,1,589.0,1.9,95.5
2026-08-11,Bcuelov,20,144.97,137.55,58.6,20,4.91,1984,4883,3,499.02,1.7,100.0
2026-08-11,Life-Space,19,1285.0,450.0,22.9,12,4.88,3921,12047,5,7250.0,1.6,63.2
2026-08-11,Now Foods,18,1048.0,660.0,16.9,8,4.99,217,919,3,4485.0,1.5,44.4
2026-08-11,Premium,17,1590.0,790.0,48.7,17,4.83,7,27,0,0.0,1.5,100.0
2026-08-11,Swisse,16,805.0,399.0,20.1,12,4.97,931,3270,4,5419.0,1.4,75.0
2026-08-11,modgut,14,1295.0,450.0,11.5,12,5.0,337,1088,0,0.0,1.2,85.7
2026-08-11,PINK COCO,13,1534.54,787.12,19.2,13,4.69,80,339,2,2116.18,1.1,100.0
2026-08-11,New Life Plus,12,460.0,460.0,6.1,12,,0,0,0,0.0,1.0,100.0
2026-08-11,Donutt,12,337.0,119.0,32.3,9,4.95,4111,10522,0,0.0,1.0,75.0
2026-08-11,Blackmores,12,778.5,519.0,11.4,6,4.92,1391,4937,3,3479.0,1.0,50.0
2026-08-11,MANA,11,650.0,295.0,38.5,8,5.0,201,382,1,620.0,0.9,72.7
2026-08-11,Vistra,11,769.0,345.0,8.6,4,4.99,2634,8348,0,0.0,0.9,36.4
2026-08-11,The Na Thailand,10,1020.0,590.0,37.7,9,4.89,235,776,0,0.0,0.9,90.0
2026-08-11,21st Century,10,467.25,428.0,2.5,1,4.97,64,253,0,0.0,0.9,10.0
2026-08-11,Premium(พรีเมึ่ยม),10,1570.0,890.0,22.3,10,,0,0,0,0.0,0.9,100.0
2026-08-11,Boots,10,202.5,125.0,47.8,10,4.98,636,2381,0,0.0,0.9,100.0
2026-08-11,CEO,9,490.0,200.0,26.1,3,4.96,4721,10213,12,8280.0,0.8,33.3
2026-08-11,Giffarine,9,560.0,266.0,18.9,6,5.0,257,693,0,0.0,0.8,66.7
